,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.102,269.33,94.4,6.91,50.66,0.0,0.0,0.0,0.0,0.0,0.22,0.38,2.9,5.96,10.0,66.17,10.49,3.22,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.099,269.07,91.49,10.05,50.77,0.0,0.0,0.0,0.0,0.05,0.22,0.77,4.21,7.92,12.68,54.43,15.74,3.39,0.49,0.11,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.094,268.88,87.36,12.59,49.98,0.0,0.0,0.0,0.0,0.0,0.27,1.8,6.01,11.58,16.89,44.92,12.79,5.03,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.08800000000000001,268.44,79.74,17.01,48.38,0.0,0.0,0.0,0.0,0.0,0.38,3.72,9.34,19.23,22.62,26.01,13.33,4.1,0.98,0.27,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.078,267.56,64.16,25.27,44.72,0.0,0.0,0.0,0.0,0.05,1.09,5.68,19.34,28.2,23.22,14.32,5.68,1.53,0.71,0.16,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.075,267.51,53.68,30.95,42.32,0.0,0.0,0.0,0.0,0.05,1.31,9.13,29.23,31.2,17.43,6.83,3.06,1.09,0.44,0.22,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.078,268.37,51.24,32.8,42.02,0.0,0.0,0.0,0.0,0.0,0.82,9.23,32.84,30.6,15.85,6.5,2.51,0.93,0.55,0.16,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.08800000000000001,270.78,53.48,31.21,42.35,0.0,0.0,0.0,0.0,0.0,0.22,7.05,31.04,33.93,18.31,5.63,2.3,1.04,0.33,0.11,0.05,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.109,274.38,61.8,26.19,44.0,0.0,0.0,0.0,0.0,0.0,0.05,3.99,21.8,34.43,26.07,9.78,2.46,0.93,0.44,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.135,278.15,71.11,19.96,45.53,0.0,0.0,0.0,0.0,0.0,0.05,2.24,14.26,31.09,32.46,14.43,4.26,0.98,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.161,281.23,78.3,13.53,45.92,0.0,0.0,0.0,0.0,0.0,0.05,2.3,12.62,28.42,34.43,16.39,4.7,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.188,283.62,84.53,14.56,49.55,0.0,0.0,0.0,0.0,0.0,0.11,0.71,4.97,16.94,28.8,28.96,16.34,3.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.218,286.35,89.53,12.98,51.25,0.0,0.0,0.0,0.0,0.0,0.05,0.49,2.73,11.26,24.26,32.46,24.37,4.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.253,288.54,94.24,8.8,51.52,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.51,8.09,20.11,44.32,20.38,3.99,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.28800000000000003,290.12,95.05,7.46,51.26,0.0,0.0,0.0,0.0,0.0,0.05,0.38,2.84,9.73,16.39,47.92,17.7,4.21,0.66,0.11,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.321,291.69,93.41,9.05,51.23,0.0,0.0,0.0,0.0,0.0,0.05,0.66,3.06,11.8,21.2,35.79,19.89,5.96,1.31,0.27,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.354,293.2,92.14,10.36,51.25,0.0,0.0,0.0,0.0,0.0,0.11,0.6,3.5,12.9,23.17,32.08,17.87,6.83,2.35,0.55,0.0,0.05,0.0,0.0,0.0,0.0
17,2007-04-30,0.385,294.56,90.09,11.24,50.67,0.0,0.0,0.0,0.0,0.0,0.11,0.82,5.25,15.57,24.32,28.03,15.25,7.38,2.95,0.22,0.11,0.0,0.0,0.0,0.0,0.0
18,2007-05-07,0.414,295.87,87.9,11.33,49.61,0.0,0.0,0.0,0.0,0.0,0.22,1.37,7.65,19.18,23.61,25.14,13.61,6.89,2.02,0.33,0.0,0.0,0.0,0.0,0.0,0.0
19,2007-05-14,0.436,296.77,85.51,13.38,49.45,0.0,0.0,0.0,0.0,0.22,0.44,2.08,10.0,18.52,23.01,20.33,15.03,6.83,3.06,0.44,0.05,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.45799999999999996,297.66,84.07,11.98,48.03,0.0,0.0,0.0,0.16,0.22,0.71,4.48,11.86,21.42,20.0,18.85,13.93,5.63,2.4,0.27,0.05,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.473,298.33,83.25,10.49,46.87,0.0,0.0,0.0,0.11,0.38,1.64,6.12,14.37,22.13,19.34,16.83,11.91,4.97,1.58,0.55,0.0,0.05,0.0,0.0,0.0,0.0
22,2007-06-04,0.48,298.58,81.34,10.74,46.04,0.0,0.0,0.0,0.27,0.66,2.08,8.25,14.7,21.15,19.29,16.01,10.44,5.14,1.48,0.38,0.16,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.48,298.56,78.15,10.16,44.15,0.0,0.0,0.11,0.44,1.31,4.32,12.02,16.23,20.49,17.87,13.44,8.31,3.22,1.58,0.6,0.05,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.473,298.26,73.64,11.61,42.62,0.0,0.0,0.38,0.71,2.24,8.58,13.72,16.12,18.31,15.63,11.2,6.78,3.88,1.58,0.66,0.22,0.0,0.0,0.0,0.0,0.0
25,2007-06-25,0.466,298.36,70.29,9.74,40.02,0.05,0.27,0.6,2.4,4.59,11.53,15.74,16.28,15.85,13.55,8.85,4.92,3.33,1.26,0.66,0.11,0.0,0.0,0.0,0.0,0.0
26,2007-07-02,0.45899999999999996,298.68,67.72,6.31,37.02,0.49,0.33,2.08,4.21,7.38,13.01,16.5,17.21,15.36,10.11,6.12,3.93,1.69,0.93,0.49,0.16,0.0,0.0,0.0,0.0,0.0
27,2007-07-09,0.446,298.38,64.89,8.07,36.48,0.93,1.37,2.62,5.3,8.25,13.11,15.03,16.01,11.69,11.53,5.19,4.48,1.91,1.69,0.55,0.27,0.05,0.0,0.0,0.0,0.0
28,2007-07-16,0.43700000000000006,297.99,64.68,12.09,38.38,0.93,1.48,2.79,4.48,6.83,10.55,13.44,15.79,13.5,9.34,7.98,6.01,3.33,1.58,1.37,0.49,0.11,0.0,0.0,0.0,0.0
29,2007-07-23,0.42700000000000005,297.62,64.35,17.92,41.13,0.55,0.87,2.24,3.77,5.41,8.69,12.19,14.7,13.61,10.98,9.84,6.07,5.9,2.73,1.58,0.38,0.44,0.05,0.0,0.0,0.0
30,2007-07-30,0.42100000000000004,297.32,64.28,21.35,42.82,0.55,0.98,1.86,3.39,4.64,7.65,10.55,11.69,14.64,12.79,10.49,8.09,6.17,3.17,2.08,0.82,0.27,0.16,0.0,0.0,0.0
31,2007-08-06,0.414,296.93,63.72,25.19,44.45,0.33,0.6,1.86,2.19,4.75,6.61,9.34,11.37,13.83,13.83,11.09,10.22,6.56,3.5,2.35,1.09,0.38,0.11,0.0,0.0,0.0
32,2007-08-13,0.405,296.04,62.02,33.29,47.66,0.11,0.6,0.98,2.08,2.9,4.37,7.27,10.33,13.17,13.83,12.79,11.2,8.47,6.67,3.44,1.42,0.27,0.11,0.0,0.0,0.0
33,2007-08-20,0.4,295.08,65.26,40.23,52.75,0.0,0.16,0.44,0.87,1.48,2.35,5.14,6.94,10.71,13.06,13.28,13.61,11.37,10.11,6.45,3.22,0.66,0.16,0.0,0.0,0.0
34,2007-08-27,0.397,294.29,73.0,40.49,56.74,0.0,0.0,0.05,0.22,0.49,1.42,3.39,5.3,7.6,10.87,14.04,13.22,15.74,12.35,8.31,4.97,1.97,0.05,0.0,0.0,0.0
35,2007-09-03,0.38799999999999996,292.96,77.67,41.21,59.44,0.0,0.0,0.0,0.0,0.22,0.6,1.04,3.28,5.9,9.13,13.77,16.23,15.19,15.9,10.71,6.34,1.48,0.22,0.0,0.0,0.0
36,2007-09-10,0.377,291.75,80.4,39.42,59.91,0.0,0.0,0.0,0.0,0.05,0.27,0.55,2.13,4.81,8.91,14.15,17.92,17.21,16.99,11.53,4.43,0.93,0.11,0.0,0.0,0.0
37,2007-09-17,0.36700000000000005,290.84,83.79,34.29,59.04,0.0,0.0,0.0,0.0,0.05,0.22,0.82,2.02,4.75,9.78,14.54,17.92,21.53,16.72,8.58,2.19,0.82,0.05,0.0,0.0,0.0
38,2007-09-24,0.349,289.23,84.02,34.67,59.34,0.0,0.0,0.0,0.0,0.0,0.05,0.82,1.91,3.28,9.73,14.21,20.71,21.91,15.9,7.76,2.79,0.71,0.22,0.0,0.0,0.0
39,2007-10-01,0.327,287.58,83.13,33.86,58.49,0.0,0.0,0.0,0.0,0.0,0.27,0.44,1.42,3.99,9.51,16.56,23.61,22.3,13.93,5.57,1.91,0.49,0.0,0.0,0.0,0.0
40,2007-10-08,0.3,285.41,80.99,33.71,57.35,0.0,0.0,0.0,0.0,0.0,0.22,0.38,1.75,4.92,11.37,18.69,24.59,20.77,11.15,4.48,1.31,0.33,0.05,0.0,0.0,0.0
41,2007-10-15,0.26899999999999996,282.32,76.75,46.52,61.64,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.82,2.13,6.89,13.44,18.31,22.73,19.29,9.78,4.26,1.48,0.44,0.22,0.11,0.0
42,2007-10-22,0.23399999999999999,278.9,71.7,57.07,64.39,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.82,1.97,5.46,9.23,15.14,17.76,20.0,14.75,8.96,3.44,1.42,0.6,0.11,0.05
43,2007-10-29,0.19699999999999998,275.5,65.59,58.49,62.04,0.0,0.0,0.0,0.0,0.0,0.05,0.27,1.31,2.95,7.7,13.72,17.92,18.09,14.59,11.75,6.94,3.01,1.31,0.27,0.11,0.0
44,2007-11-05,0.158,271.9,55.74,59.45,57.59,0.0,0.0,0.0,0.0,0.0,0.05,0.6,2.68,6.28,13.17,19.07,18.8,15.57,11.37,8.52,3.11,0.71,0.05,0.0,0.0,0.0
45,2007-11-12,0.127,268.6,49.42,59.27,54.35,0.0,0.0,0.0,0.0,0.0,0.16,1.31,4.1,10.38,17.76,19.67,18.85,13.99,8.36,4.54,0.77,0.11,0.0,0.0,0.0,0.0
46,2007-11-19,0.10099999999999999,265.02,46.58,61.67,54.12,0.0,0.0,0.0,0.0,0.0,0.22,1.64,4.54,11.31,16.67,20.93,18.03,12.02,9.51,4.32,0.71,0.11,0.0,0.0,0.0,0.0
47,2007-11-26,0.083,262.32,44.74,62.32,53.53,0.0,0.0,0.0,0.0,0.0,0.11,1.15,4.54,11.75,18.63,21.91,18.31,12.57,6.72,3.17,0.93,0.16,0.05,0.0,0.0,0.0
48,2007-12-03,0.067,260.71,39.34,60.58,49.96,0.0,0.0,0.0,0.0,0.0,0.27,2.35,8.36,16.67,23.99,21.8,15.57,6.89,2.57,1.09,0.44,0.0,0.0,0.0,0.0,0.0
49,2007-12-10,0.059000000000000004,260.19,38.16,54.34,46.25,0.0,0.0,0.0,0.0,0.05,1.04,5.85,14.32,22.9,25.96,17.7,7.76,3.01,0.87,0.49,0.05,0.0,0.0,0.0,0.0,0.0
50,2007-12-17,0.059000000000000004,260.45,44.46,45.08,44.77,0.0,0.0,0.0,0.0,0.11,0.82,8.47,18.25,24.54,24.15,15.14,6.01,1.86,0.55,0.11,0.0,0.0,0.0,0.0,0.0,0.0
51,2007-12-24,0.055,260.42,44.48,41.41,42.94,0.0,0.0,0.0,0.0,0.05,0.87,10.77,23.83,26.56,22.84,11.2,3.5,0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2007-12-31,0.057,261.23,48.33,37.59,42.96,0.0,0.0,0.0,0.0,0.05,1.37,11.58,22.68,25.74,22.79,11.42,3.77,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2008-01-07,0.065,262.48,57.59,34.57,46.08,0.0,0.0,0.0,0.0,0.0,0.27,4.64,15.46,24.15,26.67,18.8,7.65,1.97,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2008-01-14,0.079,263.75,72.75,31.15,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.44,4.81,12.68,23.11,24.86,18.31,11.09,4.26,0.44,0.0,0.0,0.0,0.0,0.0,0.0
55,2008-01-21,0.09300000000000001,266.26,84.76,24.18,54.47,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.02,7.54,16.17,24.92,26.83,16.78,4.81,0.66,0.11,0.0,0.0,0.0,0.0,0.0
56,2008-01-28,0.109,269.39,91.39,18.66,55.03,0.0,0.0,0.0,0.0,0.0,0.05,0.22,1.69,5.68,10.27,22.68,43.01,14.59,1.69,0.11,0.0,0.0,0.0,0.0,0.0,0.0
57,2008-02-04,0.129,272.37,95.05,14.66,54.85,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.69,3.33,8.74,25.19,51.75,8.69,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2008-02-11,0.14300000000000002,274.29,95.6,12.79,54.19,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.42,3.55,8.31,35.68,44.81,5.85,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2008-02-18,0.156,275.89,96.14,13.16,54.65,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.31,2.73,8.36,33.77,44.26,9.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2008-02-25,0.16899999999999998,277.73,96.44,13.91,55.17,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.93,2.9,7.6,30.77,42.4,14.75,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2008-03-03,0.18100000000000002,279.31,96.33,15.71,56.02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.66,2.19,6.89,26.72,42.51,19.67,1.15,0.11,0.0,0.0,0.0,0.0,0.0,0.0
62,2008-03-10,0.196,280.83,96.12,14.82,55.47,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.55,2.9,7.76,30.22,42.02,15.46,0.82,0.11,0.05,0.0,0.0,0.0,0.0,0.0
63,2008-03-17,0.207,281.77,94.15,21.43,57.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.86,6.89,17.81,36.17,30.6,5.68,0.55,0.11,0.05,0.05,0.0,0.0,0.0
64,2008-03-24,0.225,283.02,92.91,26.65,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.26,4.32,14.54,28.36,34.32,12.73,3.77,0.44,0.11,0.05,0.05,0.0,0.0
65,2008-03-31,0.243,284.4,89.12,30.34,59.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.91,6.39,15.14,28.14,26.45,14.7,5.41,1.26,0.44,0.05,0.0,0.0,0.0
66,2008-04-07,0.271,285.83,87.3,35.64,61.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.87,5.14,12.79,22.73,27.92,18.2,8.25,2.73,1.2,0.11,0.0,0.0,0.0
67,2008-04-14,0.313,287.12,89.75,44.59,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.77,3.77,12.19,21.53,26.07,20.6,10.98,3.11,0.87,0.0,0.0,0.0
68,2008-04-21,0.35100000000000003,288.25,90.85,53.73,72.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.93,4.1,12.02,20.22,26.45,20.38,10.87,3.93,0.87,0.05,0.0
69,2008-04-28,0.391,289.34,92.23,59.65,75.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.13,5.96,13.77,22.79,24.75,18.25,7.7,3.01,0.93,0.16
70,2008-05-05,0.426,290.6,92.68,60.71,76.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.71,2.02,5.36,12.73,19.18,24.64,19.02,10.82,4.1,1.09,0.16
71,2008-05-12,0.449,291.08,90.91,67.89,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.66,1.97,3.88,8.96,14.97,20.22,20.33,16.39,8.31,3.28,0.77
72,2008-05-19,0.47200000000000003,292.44,90.76,63.85,77.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.71,1.2,2.9,6.17,10.44,16.01,20.98,18.63,13.39,6.89,2.02,0.44
73,2008-05-26,0.486,293.8,89.67,55.44,72.56,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.55,1.37,2.62,5.9,9.73,16.94,18.91,20.66,13.61,6.34,2.57,0.33,0.05
74,2008-06-02,0.495,294.67,89.82,50.12,69.97,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.44,1.09,2.24,3.39,7.98,12.4,18.52,20.77,18.74,9.29,3.55,1.15,0.16,0.0
75,2008-06-09,0.5,295.58,89.92,41.98,65.95,0.0,0.0,0.0,0.0,0.11,0.16,0.38,1.15,1.58,3.39,6.94,11.86,16.89,19.51,19.62,12.68,4.43,1.15,0.16,0.0,0.0
76,2008-06-16,0.498,296.06,88.37,36.75,62.56,0.0,0.0,0.0,0.05,0.11,0.27,0.87,1.53,3.55,5.19,9.67,15.74,17.76,20.38,14.15,7.92,2.35,0.44,0.0,0.0,0.0
77,2008-06-23,0.489,296.57,84.56,30.94,57.75,0.0,0.0,0.05,0.11,0.22,0.6,2.24,3.77,6.34,9.84,14.7,16.94,17.7,14.75,7.65,4.04,0.98,0.05,0.0,0.0,0.0
78,2008-06-30,0.475,296.8,77.82,29.0,53.41,0.0,0.0,0.05,0.33,0.55,1.64,3.83,6.67,10.16,15.19,15.3,16.34,13.99,8.85,4.54,1.75,0.82,0.0,0.0,0.0,0.0
79,2008-07-07,0.462,296.79,74.46,28.01,51.24,0.0,0.0,0.27,0.33,1.2,3.11,4.54,9.23,11.75,16.12,14.54,13.88,11.26,6.89,4.48,1.58,0.77,0.05,0.0,0.0,0.0
80,2008-07-14,0.449,296.98,72.12,24.83,48.48,0.05,0.11,0.22,1.04,1.75,4.26,7.81,10.87,13.66,13.77,15.74,12.3,7.38,5.96,3.5,1.31,0.16,0.11,0.0,0.0,0.0
81,2008-07-21,0.433,296.97,67.62,26.01,46.81,0.16,0.11,0.66,1.04,3.28,5.3,9.56,10.87,13.33,15.25,13.44,9.4,8.63,4.81,2.79,1.09,0.22,0.05,0.0,0.0,0.0
82,2008-07-28,0.41600000000000004,296.08,61.29,37.34,49.32,0.0,0.16,0.66,0.93,1.8,5.03,7.54,9.13,12.62,13.99,14.21,10.98,9.45,6.23,3.77,2.68,0.49,0.16,0.16,0.0,0.0
83,2008-08-04,0.409,295.71,60.25,40.94,50.59,0.0,0.0,0.6,1.04,1.69,3.88,6.61,8.74,12.46,12.84,14.26,11.75,10.33,6.72,5.41,2.62,0.82,0.11,0.11,0.0,0.0
84,2008-08-11,0.401,295.99,59.25,34.02,46.64,0.05,0.49,1.26,1.58,3.11,5.36,8.09,11.8,12.73,13.83,12.79,11.2,8.03,5.3,2.68,1.26,0.44,0.0,0.0,0.0,0.0
85,2008-08-18,0.387,295.51,56.47,34.63,45.55,0.16,0.49,0.82,2.4,3.72,5.85,9.51,10.66,14.1,14.26,12.02,10.6,7.81,3.77,2.62,0.6,0.55,0.05,0.0,0.0,0.0
86,2008-08-25,0.36700000000000005,294.55,54.5,37.1,45.8,0.0,0.22,0.6,1.58,3.17,6.07,9.13,11.09,16.5,15.25,12.08,10.22,6.34,3.77,2.68,0.98,0.27,0.05,0.0,0.0,0.0
87,2008-09-01,0.337,292.71,49.06,43.17,46.12,0.0,0.11,0.33,0.98,2.35,4.75,9.51,12.84,16.83,16.67,13.01,9.02,6.61,3.61,2.35,0.71,0.22,0.05,0.05,0.0,0.0
88,2008-09-08,0.305,290.71,42.87,48.2,45.53,0.0,0.05,0.16,0.66,2.4,4.81,9.07,15.57,18.42,15.14,13.44,8.69,5.46,3.72,1.91,0.27,0.16,0.05,0.0,0.0,0.0
89,2008-09-15,0.28300000000000003,289.11,40.44,49.17,44.81,0.0,0.0,0.05,0.6,1.69,4.64,10.55,16.89,17.81,16.72,13.77,8.8,5.19,2.62,0.38,0.27,0.0,0.0,0.0,0.0,0.0
90,2008-09-22,0.271,288.08,43.81,45.34,44.58,0.0,0.0,0.05,0.49,1.48,4.64,9.51,17.7,17.98,19.18,13.55,8.31,5.03,1.53,0.38,0.16,0.0,0.0,0.0,0.0,0.0
91,2008-09-29,0.268,287.13,51.7,38.36,45.03,0.0,0.0,0.0,0.22,1.58,3.83,8.52,15.14,22.57,19.89,13.11,8.52,3.72,2.19,0.6,0.11,0.0,0.0,0.0,0.0,0.0
92,2008-10-06,0.265,286.06,61.24,25.96,43.6,0.0,0.0,0.0,0.16,1.26,5.52,11.42,16.83,22.79,18.8,12.51,5.52,3.66,1.04,0.38,0.11,0.0,0.0,0.0,0.0,0.0
93,2008-10-13,0.26,285.53,71.57,11.53,41.55,0.0,0.0,0.0,0.05,0.82,5.03,13.77,23.28,25.25,18.47,9.18,2.46,1.31,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2008-10-20,0.252,284.68,82.23,3.56,42.9,0.0,0.0,0.0,0.0,0.38,2.4,8.14,21.26,29.07,22.35,13.93,1.97,0.33,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2008-10-27,0.233,282.03,87.52,6.03,46.77,0.0,0.0,0.0,0.0,0.16,0.71,2.73,10.27,23.5,26.94,27.76,5.96,1.42,0.44,0.11,0.0,0.0,0.0,0.0,0.0,0.0
96,2008-11-03,0.214,279.38,92.11,9.38,50.74,0.0,0.0,0.0,0.0,0.0,0.33,1.31,3.55,11.09,19.67,43.44,15.03,3.28,1.31,0.71,0.16,0.05,0.05,0.0,0.0,0.0
97,2008-11-10,0.192,277.16,94.09,10.61,52.35,0.0,0.0,0.0,0.0,0.0,0.22,0.93,2.19,6.83,13.55,50.11,17.27,5.3,1.75,0.6,0.87,0.16,0.11,0.05,0.05,0.0
98,2008-11-17,0.16,274.08,91.16,16.94,54.05,0.0,0.0,0.0,0.0,0.0,0.16,0.77,2.24,6.61,11.86,37.1,25.85,8.69,2.95,1.53,0.77,0.6,0.38,0.33,0.11,0.05
99,2008-11-24,0.133,271.0,86.15,23.74,54.95,0.0,0.0,0.0,0.0,0.0,0.11,0.6,2.84,7.43,13.39,27.87,24.7,14.15,4.15,1.8,1.15,0.6,0.66,0.44,0.11,0.0
100,2008-12-01,0.10800000000000001,267.78,78.56,30.83,54.69,0.0,0.0,0.0,0.0,0.0,0.05,0.82,4.48,10.38,14.37,23.17,20.44,13.17,7.32,2.84,1.15,0.87,0.55,0.27,0.11,0.0
101,2008-12-08,0.09,265.31,69.8,33.36,51.58,0.0,0.0,0.0,0.0,0.0,0.27,2.73,9.29,15.3,17.87,19.02,15.68,10.66,4.86,2.57,1.15,0.44,0.16,0.0,0.0,0.0
102,2008-12-15,0.079,263.77,66.28,31.57,48.92,0.0,0.0,0.0,0.0,0.05,0.87,5.96,13.11,17.6,16.23,18.25,14.92,7.65,3.33,1.48,0.49,0.05,0.0,0.0,0.0,0.0
103,2008-12-22,0.07,262.52,60.86,33.19,47.02,0.0,0.0,0.0,0.0,0.0,0.82,6.78,14.92,21.26,20.55,16.67,12.08,4.75,1.8,0.22,0.16,0.0,0.0,0.0,0.0,0.0
104,2008-12-29,0.059000000000000004,261.05,50.38,38.09,44.24,0.0,0.0,0.0,0.0,0.16,1.37,9.45,19.84,24.64,21.69,14.97,5.52,1.75,0.33,0.11,0.11,0.0,0.05,0.0,0.0,0.0
105,2009-01-05,0.054000000000000006,260.48,44.87,42.08,43.47,0.0,0.0,0.0,0.0,0.05,0.93,9.51,21.26,28.31,24.21,10.27,3.88,1.04,0.33,0.05,0.11,0.05,0.0,0.0,0.0,0.0
106,2009-01-12,0.054000000000000006,261.29,46.74,40.49,43.61,0.0,0.0,0.0,0.0,0.0,0.71,7.54,22.08,31.48,22.9,10.11,3.55,1.31,0.16,0.11,0.05,0.0,0.0,0.0,0.0,0.0
107,2009-01-19,0.057,262.6,49.12,37.22,43.17,0.0,0.0,0.0,0.0,0.0,0.44,6.56,23.66,35.85,20.55,9.18,3.11,0.55,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2009-01-26,0.06,263.89,48.18,36.92,42.55,0.0,0.0,0.0,0.0,0.0,0.87,6.83,25.85,36.23,20.22,7.81,1.97,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2009-02-02,0.068,265.49,48.65,36.77,42.71,0.0,0.0,0.0,0.0,0.0,0.27,5.85,23.93,39.07,22.19,6.99,1.58,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2009-02-09,0.081,267.73,52.97,34.3,43.64,0.0,0.0,0.0,0.0,0.0,0.38,5.41,19.13,36.45,26.78,9.13,2.46,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2009-02-16,0.08900000000000001,269.46,54.11,35.07,44.59,0.0,0.0,0.0,0.0,0.0,0.16,4.26,14.59,33.93,31.42,12.35,2.73,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2009-02-23,0.09699999999999999,270.73,54.71,38.38,46.54,0.0,0.0,0.0,0.0,0.0,0.05,1.53,9.62,27.92,35.52,19.34,5.19,0.77,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2009-03-02,0.10800000000000001,272.35,56.11,39.81,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.55,6.23,23.33,35.9,24.48,7.81,1.31,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2009-03-09,0.127,275.06,60.12,35.34,47.73,0.0,0.0,0.0,0.0,0.0,0.0,0.82,6.17,26.5,33.83,23.44,6.89,1.69,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0
115,2009-03-16,0.155,278.57,67.59,32.85,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.68,16.28,31.2,29.13,15.3,3.83,1.04,0.27,0.05,0.0,0.0,0.0,0.0,0.0
116,2009-03-23,0.19399999999999998,282.91,77.51,26.79,52.15,0.0,0.0,0.0,0.0,0.0,0.11,0.11,2.02,11.42,24.04,29.07,22.35,8.85,1.48,0.55,0.0,0.0,0.0,0.0,0.0,0.0
117,2009-03-30,0.235,286.75,85.76,18.08,51.92,0.0,0.0,0.0,0.0,0.05,0.05,0.55,3.66,14.75,20.05,25.79,21.8,9.89,3.06,0.33,0.0,0.0,0.0,0.0,0.0,0.0
118,2009-04-06,0.275,289.8,89.23,9.86,49.54,0.0,0.0,0.0,0.0,0.05,0.11,2.02,6.17,17.81,25.79,25.63,13.93,6.39,1.8,0.27,0.0,0.0,0.0,0.0,0.0,0.0
119,2009-04-13,0.315,291.96,90.95,7.3,49.12,0.0,0.0,0.0,0.0,0.05,0.33,1.97,5.85,18.8,25.03,29.95,10.93,4.97,1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0
120,2009-04-20,0.349,293.34,90.16,9.45,49.8,0.0,0.0,0.0,0.0,0.11,0.6,1.58,7.32,16.78,23.99,26.5,13.06,5.74,3.17,0.93,0.22,0.0,0.0,0.0,0.0,0.0
